Episode = 302, Score = 247.99121046742442, Avg_Score = 238.94214277793594
Episode = 303, Score = 210.18659059164526, Avg_Score = 245.67984394293632
Episode = 304, Score = 246.92026479184153, Avg_Score = 245.23730274613263
Episode = 305, Score = 270.2671382969004, Avg_Score = 246.73267353830178
Episode = 306, Score = 242.13042707591768, Avg_Score = 249.3394252430831
Episode = 307, Score = 267.8627079951662, Avg_Score = 251.27179117263935
Episode = 308, Score = 297.87779183580807, Avg_Score = 254.447900566924
Episode = 309, Score = 257.79191260246847, Avg_Score = 253.1517532491683
Episode = 310, Score = 260.10169070975246, Avg_Score = 254.00776326359127
Episode = 311, Score = 250.94031210103032, Avg_Score = 255.2070046467955
Episode = 312, Score = 281.24522323490874, Avg_Score = 258.53240592354393
Episode = 313, Score = 224.58133631171552, Avg_Score = 259.9718804955509
Episode = 314, Score = 232.11527792532397, Avg_Score = 258.4913818088991
Episode = 315, Score = 254.3310395999738, Avg_Score = 256.8977719392065
Episode = 316, Score = 261.67721308506907, Avg_Score = 258.85245054012165
Episode = 317, Score = 257.39309370701426, Avg_Score = 257.80548911130643
Episode = 318, Score = 235.28036761255578, Avg_Score = 251.5457466889812
Episode = 319, Score = 271.40761714399787, Avg_Score = 252.9073171431342
Episode = 320, Score = -370.33810221926734, Avg_Score = 189.8633378502322
Episode = 321, Score = 219.9656068712152, Avg_Score = 186.76586732725067
Episode = 322, Score = 233.05144230647977, Avg_Score = 181.94648923440778
Episode = 323, Score = 205.14697520320718, Avg_Score = 180.00305312355695
Episode = 324, Score = 258.17981600131395, Avg_Score = 182.60950693115598
Episode = 325, Score = 134.14579172953012, Avg_Score = 170.59098214411156
Episode = 326, Score = 212.51014375295026, Avg_Score = 165.67427521089968
