Episode = 294, Score = 224.2169493509465, Avg_Score = 202.38837419890214
Episode = 295, Score = 248.30612435854036, Avg_Score = 211.29755387202135
Episode = 296, Score = 134.82238955893334, Avg_Score = 229.60004172252678
Episode = 297, Score = 253.29449564902066, Avg_Score = 226.65212254052736
Episode = 298, Score = 268.6450341559629, Avg_Score = 230.52889318062466
Episode = 299, Score = 135.8573576503661, Avg_Score = 221.6065797336476
Episode = 300, Score = -32.95307804968462, Avg_Score = 194.5514752662351
Episode = 301, Score = 250.68734704181836, Avg_Score = 194.7531087910815
Episode = 302, Score = -24.415603835627422, Avg_Score = 167.5333559903078
Episode = 303, Score = 219.33783136840702, Avg_Score = 167.7798847248683
Episode = 304, Score = 237.7390333349593, Avg_Score = 169.1320931232696
Episode = 305, Score = 250.12744282188532, Avg_Score = 169.31422496960408
Episode = 306, Score = 294.06892193724946, Avg_Score = 185.2388782074357
Episode = 307, Score = -7.021744529603595, Avg_Score = 159.20725418957323
Episode = 308, Score = 300.57194052068013, Avg_Score = 162.399944826045
Episode = 309, Score = 92.17695050423856, Avg_Score = 158.03190411143223
Episode = 310, Score = 148.52734433592556, Avg_Score = 176.17994634999326
Episode = 311, Score = 308.8671730115947, Avg_Score = 181.9979289469709
Episode = 312, Score = 20.939854906462273, Avg_Score = 186.53347482117988
Episode = 313, Score = 96.79046097438068, Avg_Score = 174.27873778177724
Episode = 314, Score = 111.84362863877763, Avg_Score = 161.68919731215905
Episode = 315, Score = 144.54388973613942, Avg_Score = 151.13084200358446
Episode = 316, Score = 246.2865663988996, Avg_Score = 146.3526064497495
Episode = 317, Score = 278.20572499129656, Avg_Score = 174.8753534018395
Episode = 318, Score = 150.06606384309504, Avg_Score = 159.824765734081
Episode = 319, Score = 270.123423640092, Avg_Score = 177.61941304766634
Episode = 320, Score = 260.42966847350203, Avg_Score = 188.80964546142397
Episode = 321, Score = 260.0363174002059, Avg_Score = 183.92655990028513
Episode = 322, Score = 268.8931760639483, Avg_Score = 208.72189201603373
Episode = 323, Score = 129.0770416510918, Avg_Score = 211.95055008370485
Episode = 324, Score = 290.3739881854251, Avg_Score = 229.8035860383696
Episode = 325, Score = 271.17463941625203, Avg_Score = 242.46666100638086
Episode = 326, Score = 261.6167399468981, Avg_Score = 243.9996783611807
Episode = 327, Score = 288.88890762123964, Avg_Score = 245.06799662417498
Episode = 328, Score = -18.809522925965098, Avg_Score = 228.18043794726896
Episode = 329, Score = 109.07675745206109, Avg_Score = 212.07577132846586
Episode = 330, Score = 289.9754201806127, Avg_Score = 215.03034649917694
Episode = 331, Score = 313.10807095526127, Avg_Score = 220.33752185468248
Episode = 332, Score = 286.44504476449845, Avg_Score = 222.09270872473752
Episode = 333, Score = 157.48561369010514, Avg_Score = 224.93356592863887
Episode = 334, Score = 264.181748640208, Avg_Score = 222.31434197411713
Episode = 335, Score = 238.16252892394039, Avg_Score = 219.01313092488596
Episode = 336, Score = 235.46556499929383, Avg_Score = 216.39801343012556
Episode = 337, Score = 289.30685795561357, Avg_Score = 216.43980846356288
Episode = 338, Score = 261.6410287680856, Avg_Score = 244.48486363296797
Episode = 339, Score = 305.01696458150195, Avg_Score = 264.07888434591206
Episode = 340, Score = -50.1364100423845, Avg_Score = 230.0677013236124
Episode = 341, Score = 101.15330092832059, Avg_Score = 208.8722243209183
Episode = 342, Score = 292.0790216479332, Avg_Score = 209.43562200926175
Episode = 343, Score = 92.80286283591698, Avg_Score = 202.96734692384294
Episode = 344, Score = 288.17112826164026, Avg_Score = 205.3662848859862
Episode = 345, Score = 118.66419726808643, Avg_Score = 193.41645172040077
Episode = 346, Score = 284.09066251711226, Avg_Score = 198.27896147218263
