Episode = 364, Score = 262.6240446326233, Avg_Score = 231.91955682930748
Episode = 365, Score = 237.7107118621415, Avg_Score = 231.39791011443478
Episode = 366, Score = 288.3604998607526, Avg_Score = 232.7620216248689
Episode = 367, Score = 259.31782843955943, Avg_Score = 232.87666006644406
Episode = 368, Score = 254.1727055168929, Avg_Score = 232.81853929761846
Episode = 369, Score = 166.78727627546098, Avg_Score = 231.81680262968
Episode = 370, Score = 137.6016667478237, Avg_Score = 230.6641122645559
Episode = 371, Score = 147.5389319167545, Avg_Score = 229.50457603034175
Episode = 372, Score = 155.63449749203008, Avg_Score = 228.64650869895885
Episode = 373, Score = 108.54147775926623, Avg_Score = 227.04692380382818
Episode = 374, Score = 262.07406889656966, Avg_Score = 227.07248668746672
Episode = 375, Score = 232.63524143920873, Avg_Score = 226.72399731885733
Episode = 376, Score = 278.0733497612238, Avg_Score = 228.0224396873105
Episode = 377, Score = 139.27107889771005, Avg_Score = 228.16197563409173
Episode = 378, Score = 254.56546474943255, Avg_Score = 227.90104753350823
Episode = 379, Score = 248.61516443328452, Avg_Score = 227.70482486878956
Episode = 380, Score = 241.14384674239338, Avg_Score = 228.84742223905786
Episode = 381, Score = 240.08808631874732, Avg_Score = 229.86731422564003
Episode = 382, Score = 28.525088835540203, Avg_Score = 227.66937156097578
Episode = 383, Score = 79.87703551598713, Avg_Score = 225.92236927884937
Episode = 384, Score = 256.2856668755842, Avg_Score = 225.83819983226246
Episode = 385, Score = 294.85984570036845, Avg_Score = 226.2593819500883
Episode = 386, Score = 235.70960802882985, Avg_Score = 225.90178508339537
Episode = 387, Score = 114.09375129749726, Avg_Score = 225.91977333043513
Episode = 388, Score = 239.80004848777878, Avg_Score = 225.9078961037634
Episode = 389, Score = 235.58946612716397, Avg_Score = 225.6292447197051
Episode = 390, Score = 276.6363507220452, Avg_Score = 225.9792392103341
Episode = 391, Score = -207.51012130873835, Avg_Score = 220.97535421589083
Episode = 392, Score = 129.72186068392566, Avg_Score = 219.58884194277846
Episode = 393, Score = 253.24673269602977, Avg_Score = 219.25111081633455
Episode = 394, Score = 248.6350545997511, Avg_Score = 218.9285847462618
Episode = 395, Score = 200.7939166582638, Avg_Score = 218.142238878553
Episode = 396, Score = 242.8663013426784, Avg_Score = 217.94921140646716
Episode = 397, Score = 284.9730860655127, Avg_Score = 218.34749157317216
Episode = 398, Score = 270.80426134410834, Avg_Score = 218.41089952755283
Episode = 399, Score = 129.58127834506817, Avg_Score = 217.3455373264903
