Episode = 356, Score = -185.8713603373888, Avg_Score = 50.99750001674781
Episode = 357, Score = -190.0219106992955, Avg_Score = 42.42595234161776
Episode = 358, Score = -261.78958480156086, Avg_Score = -2.528752926645788
Episode = 359, Score = -61.68781765777764, Avg_Score = -15.949411844459428
Episode = 360, Score = -148.93989859720534, Avg_Score = -31.675647075429385
Episode = 361, Score = 252.18849835465505, Avg_Score = -24.58869635903331
Episode = 362, Score = 267.7123672684322, Avg_Score = -18.467613667826367
Episode = 363, Score = -62.87988058714609, Avg_Score = -49.33919196022625
Episode = 365, Score = 270.84738875643563, Avg_Score = -23.425114038060705
Episode = 366, Score = 186.36740683183297, Avg_Score = 6.59252085309816
Episode = 367, Score = 169.73042309562317, Avg_Score = 42.15269919639936
Episode = 368, Score = 271.1892736843341, Avg_Score = 88.27381763476231
Episode = 369, Score = 216.60626850277663, Avg_Score = 136.1134029651961
Episode = 370, Score = 232.89159202099592, Avg_Score = 165.57134393307342
Episode = 371, Score = -12.55670607348749, Avg_Score = 179.2096631854452
Episode = 372, Score = -94.97797955607744, Avg_Score = 144.49301539437198
Episode = 373, Score = 274.5488075532363, Avg_Score = 145.1766594228524
Episode = 374, Score = 226.32259258214242, Avg_Score = 174.09690673978125
Episode = 375, Score = -60.16520249319247, Avg_Score = 140.9956476148184
Episode = 376, Score = 290.9994780814792, Avg_Score = 151.45885473978305
Episode = 377, Score = -19.421117096423586, Avg_Score = 132.54370072057836
Episode = 378, Score = 270.68714396393653, Avg_Score = 132.4934877485386
Episode = 379, Score = 35.47593628900117, Avg_Score = 114.38045452716105
Episode = 380, Score = 250.0822042811036, Avg_Score = 116.09951575317181
Episode = 381, Score = 222.58941235544648, Avg_Score = 139.6141275960652
Episode = 382, Score = 168.45066688596245, Avg_Score = 165.95699224026922
Episode = 383, Score = 264.19772897405767, Avg_Score = 164.92188438235135
Episode = 384, Score = 205.99977325416077, Avg_Score = 162.88960244955317
Episode = 385, Score = 260.4851146380842, Avg_Score = 194.95463416268086
Episode = 386, Score = 250.35293774510623, Avg_Score = 190.88998012904355
Episode = 387, Score = -125.74000454022311, Avg_Score = 180.2580913846636
Episode = 388, Score = 116.67772800253347, Avg_Score = 164.85714978852332
Episode = 389, Score = 268.74160829267726, Avg_Score = 188.1837169888909
Episode = 390, Score = 244.68525290482626, Avg_Score = 187.64402185126318
Episode = 391, Score = 237.70890626434277, Avg_Score = 189.1559712421528
Episode = 392, Score = 269.3858865645977, Avg_Score = 199.24949321001634
Episode = 393, Score = 305.5330928817898, Avg_Score = 203.3830296007895
Episode = 394, Score = 252.80743946886432, Avg_Score = 208.06379622225987
Episode = 395, Score = 251.08789876036366, Avg_Score = 207.1240746344878
Episode = 396, Score = 254.99268986130042, Avg_Score = 207.58804984610725
Episode = 397, Score = 245.7645225532156, Avg_Score = 244.73850255545113
