Episode = 366, Score = 246.06339382727077, Avg_Score = 253.082710521524
Episode = 367, Score = 253.96171118253483, Avg_Score = 253.51398852823914
Episode = 368, Score = 164.450239716916, Avg_Score = 245.09079532189125
Episode = 369, Score = 269.75797695324, Avg_Score = 248.37593712056668
Episode = 370, Score = -57.38920757885489, Avg_Score = 217.9689878561263
Episode = 371, Score = 132.95805370163944, Avg_Score = 205.00992070792262
Episode = 372, Score = 4.827364325880083, Avg_Score = 178.9951893975058
Episode = 373, Score = 272.94465819234784, Avg_Score = 180.79300685902552
Episode = 374, Score = 271.2620224079866, Avg_Score = 181.94639745016144
Episode = 375, Score = 2.228221286615039, Avg_Score = 156.10644340155756
Episode = 376, Score = 81.3469946050785, Avg_Score = 139.63480347933836
Episode = 377, Score = 201.59632789087007, Avg_Score = 134.39826515017185
Episode = 378, Score = 277.6631995181749, Avg_Score = 145.7195611302978
Episode = 379, Score = 190.05265439287996, Avg_Score = 137.74902887426174
Episode = 380, Score = -0.060672572023818816, Avg_Score = 143.48188237494486
Episode = 381, Score = 254.16239384882616, Avg_Score = 155.60231638966354
Episode = 382, Score = 236.8724648990242, Avg_Score = 178.80682644697796
Episode = 383, Score = 277.81809143577294, Avg_Score = 179.29416977132044
Episode = 384, Score = 272.7180097563987, Avg_Score = 179.43976850616167
Episode = 385, Score = 17.201472412012365, Avg_Score = 180.9370936187014
Episode = 386, Score = 270.8707389392915, Avg_Score = 199.8894680521227
Episode = 387, Score = 234.19610578942235, Avg_Score = 203.14944584197792
Episode = 388, Score = 255.96952845116613, Avg_Score = 200.98007873527703
Episode = 389, Score = 273.6314356879749, Avg_Score = 209.33795686478658
Episode = 390, Score = 289.7113685536343, Avg_Score = 238.31516097735235
Episode = 391, Score = 204.48027860721717, Avg_Score = 233.34694945319148
Episode = 392, Score = 275.2071777612949, Avg_Score = 237.1804207394185
Episode = 393, Score = 236.87286223365385, Avg_Score = 233.08589781920665
Episode = 394, Score = 289.1371122915663, Avg_Score = 234.72780807272338
Episode = 395, Score = 307.7811771965289, Avg_Score = 263.78577855117504
Episode = 396, Score = -1.1903080988229817, Avg_Score = 236.57967384736358
Episode = 397, Score = 265.16081780260015, Avg_Score = 239.67614504868135
Episode = 398, Score = 296.8523470169124, Avg_Score = 243.76442690525602
Episode = 399, Score = 276.0055820803025, Avg_Score = 244.0018415444888
