Episode = 296, Score = -329.1615389886328, Avg_Score = -206.00733437088707
Episode = 297, Score = -252.7719392489669, Avg_Score = -207.27549152847064
Episode = 298, Score = -404.6315874843467, Avg_Score = -209.8091134505364
Episode = 299, Score = -439.97097021672005, Avg_Score = -210.31306262097536
Episode = 300, Score = -285.9209117944242, Avg_Score = -202.6882519533743
Episode = 301, Score = -162.72778437935287, Avg_Score = -201.51090445133312
Episode = 302, Score = -289.4570594814446, Avg_Score = -203.4412892861749
Episode = 303, Score = -529.5520970297607, Avg_Score = -206.23623472126965
Episode = 304, Score = -691.4425238160616, Avg_Score = -210.83461186751504
Episode = 305, Score = -292.91628855462284, Avg_Score = -209.83344830493377
Episode = 306, Score = -137.70017417052617, Avg_Score = -208.25190257980378
Episode = 307, Score = -297.48209940817503, Avg_Score = -207.780051250418
Episode = 308, Score = -303.91814417286713, Avg_Score = -207.3290193558098
Episode = 309, Score = -587.3582309642555, Avg_Score = -211.00602043075546
Episode = 310, Score = -70.09212667773787, Avg_Score = -211.68476048494608
Episode = 311, Score = -1438.133636860737, Avg_Score = -222.1254040781647
Episode = 312, Score = -179.38930700234687, Avg_Score = -221.13472083661017
Episode = 313, Score = -172.01318852579783, Avg_Score = -219.56056222250078
Episode = 314, Score = -246.53567350271587, Avg_Score = -220.17562337647152
Episode = 315, Score = -360.60403149418136, Avg_Score = -221.75107039202055
Episode = 316, Score = -188.61498773819267, Avg_Score = -223.79060001884332
Episode = 317, Score = 2.1835373477870235, Avg_Score = -223.27803139874936
Episode = 318, Score = -98.54675019123673, Avg_Score = -223.52029400168274
Episode = 319, Score = -46.405535469444615, Avg_Score = -220.50204825673336
Episode = 320, Score = -111.94419086798993, Avg_Score = -223.37640626086846
Episode = 321, Score = -117.49631782160367, Avg_Score = -224.13304665861855
Episode = 322, Score = -168.70553401288112, Avg_Score = -224.33731243680498
Episode = 323, Score = -208.00566851192224, Avg_Score = -225.24526199532838
Episode = 324, Score = -265.89820906081, Avg_Score = -225.24148086015194
Episode = 325, Score = -6.646087833549728, Avg_Score = -224.9155885762262
Episode = 326, Score = -194.1228148122847, Avg_Score = -226.17932761884285
Episode = 327, Score = -717.5345666293692, Avg_Score = -234.81888639402393
Episode = 328, Score = -11.451540119738539, Avg_Score = -232.68740189884178
Episode = 329, Score = -315.6769568301031, Avg_Score = -234.18376383743856
Episode = 330, Score = -219.77995967700767, Avg_Score = -233.89788274967952
Episode = 332, Score = -298.8602102865609, Avg_Score = -231.07727532581382
Episode = 333, Score = -286.3470298606745, Avg_Score = -232.7073632288922
Episode = 334, Score = -301.0408290750273, Avg_Score = -233.8724498361572
Episode = 335, Score = -484.61106356363865, Avg_Score = -239.17294763670515
Episode = 336, Score = -283.38882460949213, Avg_Score = -240.8658185204679
Episode = 337, Score = -419.5787560493391, Avg_Score = -243.25239438988484
Episode = 338, Score = -333.2302894164894, Avg_Score = -244.75436020751837
Episode = 339, Score = -94.47548179567319, Avg_Score = -243.73249564561965
Episode = 340, Score = -269.11468654369503, Avg_Score = -243.92918103694328
Episode = 341, Score = -98.22678882635597, Avg_Score = -243.37410364355185
Episode = 342, Score = -169.66315326383568, Avg_Score = -243.50513101558968
Episode = 343, Score = -272.4823274300401, Avg_Score = -244.2969703409725
